subject_id	population	superpopulation	country_of_recruitment
HG02184	CDX	EAS	China
HG02185	CDX	EAS	China
HG02186	CDX	EAS	China
HG02187	CDX	EAS	China
HG02188	CDX	EAS	China
HG02190	CDX	EAS	China
HG02215	GBR	EUR	UK
HG02219	IBS	EUR	Spain
HG02220	IBS	EUR	Spain
HG02221	IBS	EUR	Spain
HG02223	IBS	EUR	Spain
HG02224	IBS	EUR	Spain
HG02230	IBS	EUR	Spain
HG02231	IBS	EUR	Spain
HG02232	IBS	EUR	Spain
HG02233	IBS	EUR	Spain
HG02235	IBS	EUR	Spain
HG02236	IBS	EUR	Spain
HG02238	IBS	EUR	Spain
HG02239	IBS	EUR	Spain
HG02250	CDX	EAS	China
HG02252	PEL	AMR	Peru
HG02253	PEL	AMR	Peru
HG02255	ACB	AFR	Barbados
HG02256	ACB	AFR	Barbados
HG02259	PEL	AMR	Peru
HG02260	PEL	AMR	Peru
HG02262	PEL	AMR	Peru
HG02265	PEL	AMR	Peru
HG02266	PEL	AMR	Peru
HG02271	PEL	AMR	Peru
HG02272	PEL	AMR	Peru
HG02274	PEL	AMR	Peru
HG02275	PEL	AMR	Peru
HG02277	PEL	AMR	Peru
HG02278	PEL	AMR	Peru
HG02281	ACB	AFR	Barbados
HG02282	ACB	AFR	Barbados
HG02283	ACB	AFR	Barbados
HG02284	ACB	AFR	Barbados
HG02285	PEL	AMR	Peru
HG02286	PEL	AMR	Peru
HG02291	PEL	AMR	Peru
HG02292	PEL	AMR	Peru
HG02298	PEL	AMR	Peru
HG02299	PEL	AMR	Peru
HG02301	PEL	AMR	Peru
HG02304	PEL	AMR	Peru
HG02307	ACB	AFR	Barbados
HG02308	ACB	AFR	Barbados
HG02309	ACB	AFR	Barbados
HG02312	PEL	AMR	Peru
HG02314	ACB	AFR	Barbados
HG02315	ACB	AFR	Barbados
HG02317	ACB	AFR	Barbados
HG02318	ACB	AFR	Barbados
HG02322	ACB	AFR	Barbados
HG02323	ACB	AFR	Barbados
HG02325	ACB	AFR	Barbados
HG02330	ACB	AFR	Barbados
HG02332	ACB	AFR	Barbados
HG02334	ACB	AFR	Barbados
HG02337	ACB	AFR	Barbados
HG02339	ACB	AFR	Barbados
HG02343	ACB	AFR	Barbados
HG02345	PEL	AMR	Peru
HG02348	PEL	AMR	Peru
HG02351	CDX	EAS	China
HG02353	CDX	EAS	China
HG02355	CDX	EAS	China
HG02356	CDX	EAS	China
HG02360	CDX	EAS	China
HG02364	CDX	EAS	China
HG02367	CDX	EAS	China
HG02371	CDX	EAS	China
HG02373	CDX	EAS	China
HG02374	CDX	EAS	China
HG02375	CDX	EAS	China
HG02379	CDX	EAS	China
HG02380	CDX	EAS	China
HG02382	CDX	EAS	China
HG02383	CDX	EAS	China
HG02384	CDX	EAS	China
HG02385	CDX	EAS	China
HG02386	CDX	EAS	China
HG02389	CDX	EAS	China
HG02390	CDX	EAS	China
HG02391	CDX	EAS	China
HG02392	CDX	EAS	China
HG02394	CDX	EAS	China
HG02395	CDX	EAS	China
HG02396	CDX	EAS	China
HG02397	CDX	EAS	China
HG02398	CDX	EAS	China
HG02399	CDX	EAS	China
HG02401	CDX	EAS	China
HG02402	CDX	EAS	China
HG02406	CDX	EAS	China
HG02407	CDX	EAS	China
HG02408	CDX	EAS	China
HG02409	CDX	EAS	China
HG02410	CDX	EAS	China
HG02419	ACB	AFR	Barbados
HG02420	ACB	AFR	Barbados
HG02425	PEL	AMR	Peru
HG02427	ACB	AFR	Barbados
HG02429	ACB	AFR	Barbados
HG02433	ACB	AFR	Barbados
HG02439	ACB	AFR	Barbados
HG02442	ACB	AFR	Barbados
HG02445	ACB	AFR	Barbados
HG02449	ACB	AFR	Barbados
HG02450	ACB	AFR	Barbados
HG02455	ACB	AFR	Barbados
HG02461	GWD	AFR	Gambia
HG02462	GWD	AFR	Gambia
HG02464	GWD	AFR	Gambia
HG02465	GWD	AFR	Gambia
HG02470	ACB	AFR	Barbados
HG02471	ACB	AFR	Barbados
HG02476	ACB	AFR	Barbados
HG02477	ACB	AFR	Barbados
HG02479	ACB	AFR	Barbados
HG02481	ACB	AFR	Barbados
HG02484	ACB	AFR	Barbados
HG02485	ACB	AFR	Barbados
HG02489	ACB	AFR	Barbados
HG02490	PJL	SAS	Pakistan
HG02491	PJL	SAS	Pakistan
HG02493	PJL	SAS	Pakistan
HG02494	PJL	SAS	Pakistan
HG02496	ACB	AFR	Barbados
HG02497	ACB	AFR	Barbados
HG02501	ACB	AFR	Barbados
HG02502	ACB	AFR	Barbados
HG02505	ACB	AFR	Barbados
HG02508	ACB	AFR	Barbados
HG02511	ACB	AFR	Barbados
HG02512	KHV	EAS	Vietnam
HG02513	KHV	EAS	Vietnam
HG02521	KHV	EAS	Vietnam
HG02522	KHV	EAS	Vietnam
HG02536	ACB	AFR	Barbados
HG02537	ACB	AFR	Barbados
HG02541	ACB	AFR	Barbados
HG02545	ACB	AFR	Barbados
HG02546	ACB	AFR	Barbados
HG02549	ACB	AFR	Barbados
HG02554	ACB	AFR	Barbados
HG02555	ACB	AFR	Barbados
HG02557	ACB	AFR	Barbados
HG02558	ACB	AFR	Barbados
HG02561	GWD	AFR	Gambia
HG02562	GWD	AFR	Gambia
HG02568	GWD	AFR	Gambia
HG02570	GWD	AFR	Gambia
HG02571	GWD	AFR	Gambia
HG02573	GWD	AFR	Gambia
HG02574	GWD	AFR	Gambia
HG02577	ACB	AFR	Barbados
HG02580	ACB	AFR	Barbados
HG02582	GWD	AFR	Gambia
HG02583	GWD	AFR	Gambia
HG02585	GWD	AFR	Gambia
HG02586	GWD	AFR	Gambia
HG02588	GWD	AFR	Gambia
HG02589	GWD	AFR	Gambia
HG02594	GWD	AFR	Gambia
HG02595	GWD	AFR	Gambia
HG02597	PJL	SAS	Pakistan
HG02600	PJL	SAS	Pakistan
HG02601	PJL	SAS	Pakistan
HG02603	PJL	SAS	Pakistan
HG02604	PJL	SAS	Pakistan
HG02610	GWD	AFR	Gambia
HG02611	GWD	AFR	Gambia
HG02613	GWD	AFR	Gambia
HG02614	GWD	AFR	Gambia
HG02620	GWD	AFR	Gambia
HG02621	GWD	AFR	Gambia
HG02623	GWD	AFR	Gambia
HG02624	GWD	AFR	Gambia
HG02628	GWD	AFR	Gambia
HG02629	GWD	AFR	Gambia
HG02634	GWD	AFR	Gambia
HG02635	GWD	AFR	Gambia
HG02642	GWD	AFR	Gambia
HG02643	GWD	AFR	Gambia
HG02645	GWD	AFR	Gambia
HG02646	GWD	AFR	Gambia
HG02648	PJL	SAS	Pakistan
HG02649	PJL	SAS	Pakistan
HG02651	PJL	SAS	Pakistan
HG02652	PJL	SAS	Pakistan
HG02654	PJL	SAS	Pakistan
HG02655	PJL	SAS	Pakistan
HG02657	PJL	SAS	Pakistan
HG02658	PJL	SAS	Pakistan
HG02660	PJL	SAS	Pakistan
HG02661	PJL	SAS	Pakistan
HG02666	GWD	AFR	Gambia
HG02667	GWD	AFR	Gambia
HG02675	GWD	AFR	Gambia
HG02676	GWD	AFR	Gambia
HG02678	GWD	AFR	Gambia
HG02679	GWD	AFR	Gambia
HG02681	PJL	SAS	Pakistan
HG02682	PJL	SAS	Pakistan
HG02684	PJL	SAS	Pakistan
HG02685	PJL	SAS	Pakistan
HG02687	PJL	SAS	Pakistan
HG02688	PJL	SAS	Pakistan
HG02690	PJL	SAS	Pakistan
HG02691	PJL	SAS	Pakistan
HG02694	PJL	SAS	Pakistan
HG02696	PJL	SAS	Pakistan
HG02697	PJL	SAS	Pakistan
HG02699	PJL	SAS	Pakistan
HG02700	PJL	SAS	Pakistan
HG02702	GWD	AFR	Gambia
HG02703	GWD	AFR	Gambia
HG02715	GWD	AFR	Gambia
HG02716	GWD	AFR	Gambia
HG02721	GWD	AFR	Gambia
HG02722	GWD	AFR	Gambia
HG02724	PJL	SAS	Pakistan
HG02725	PJL	SAS	Pakistan
HG02727	PJL	SAS	Pakistan
HG02728	PJL	SAS	Pakistan
HG02731	PJL	SAS	Pakistan
HG02733	PJL	SAS	Pakistan
HG02734	PJL	SAS	Pakistan
HG02736	PJL	SAS	Pakistan
HG02737	PJL	SAS	Pakistan
HG02756	GWD	AFR	Gambia
HG02757	GWD	AFR	Gambia
HG02759	GWD	AFR	Gambia
HG02760	GWD	AFR	Gambia
HG02763	GWD	AFR	Gambia
HG02768	GWD	AFR	Gambia
HG02769	GWD	AFR	Gambia
HG02771	GWD	AFR	Gambia
HG02772	GWD	AFR	Gambia
HG02774	PJL	SAS	Pakistan
HG02775	PJL	SAS	Pakistan
HG02778	PJL	SAS	Pakistan
HG02780	PJL	SAS	Pakistan
HG02783	PJL	SAS	Pakistan
HG02784	PJL	SAS	Pakistan
HG02786	PJL	SAS	Pakistan
HG02787	PJL	SAS	Pakistan
HG02789	PJL	SAS	Pakistan
HG02790	PJL	SAS	Pakistan
HG02792	PJL	SAS	Pakistan
HG02793	PJL	SAS	Pakistan
HG02798	GWD	AFR	Gambia
HG02799	GWD	AFR	Gambia
HG02804	GWD	AFR	Gambia
HG02805	GWD	AFR	Gambia
HG02807	GWD	AFR	Gambia
HG02808	GWD	AFR	Gambia
HG02810	GWD	AFR	Gambia
HG02811	GWD	AFR	Gambia
HG02813	GWD	AFR	Gambia
HG02814	GWD	AFR	Gambia
HG02816	GWD	AFR	Gambia
HG02817	GWD	AFR	Gambia
HG02819	GWD	AFR	Gambia
HG02820	GWD	AFR	Gambia
HG02836	GWD	AFR	Gambia
HG02837	GWD	AFR	Gambia
HG02839	GWD	AFR	Gambia
HG02840	GWD	AFR	Gambia
HG02851	GWD	AFR	Gambia
HG02852	GWD	AFR	Gambia
HG02854	GWD	AFR	Gambia
HG02855	GWD	AFR	Gambia
HG02860	GWD	AFR	Gambia
HG02861	GWD	AFR	Gambia
HG02870	GWD	AFR	Gambia
HG02878	GWD	AFR	Gambia
HG02879	GWD	AFR	Gambia
HG02881	GWD	AFR	Gambia
HG02882	GWD	AFR	Gambia
HG02884	GWD	AFR	Gambia
HG02885	GWD	AFR	Gambia
HG02887	GWD	AFR	Gambia
HG02888	GWD	AFR	Gambia
HG02890	GWD	AFR	Gambia
HG02891	GWD	AFR	Gambia
HG02895	GWD	AFR	Gambia
HG02896	GWD	AFR	Gambia
HG02922	ESN	AFR	Nigeria
HG02923	ESN	AFR	Nigeria
HG02938	ESN	AFR	Nigeria
HG02941	ESN	AFR	Nigeria
HG02943	ESN	AFR	Nigeria
HG02944	ESN	AFR	Nigeria
HG02946	ESN	AFR	Nigeria
HG02947	ESN	AFR	Nigeria
HG02952	ESN	AFR	Nigeria
HG02953	ESN	AFR	Nigeria
HG02968	ESN	AFR	Nigeria
HG02970	ESN	AFR	Nigeria
HG02971	ESN	AFR	Nigeria
HG02973	ESN	AFR	Nigeria
HG02974	ESN	AFR	Nigeria
HG02976	ESN	AFR	Nigeria
HG02977	ESN	AFR	Nigeria
HG02979	ESN	AFR	Nigeria
HG02981	ESN	AFR	Nigeria
HG02982	GWD	AFR	Gambia
HG02983	GWD	AFR	Gambia
HG03006	BEB	SAS	Bangladesh
HG03007	BEB	SAS	Bangladesh
HG03009	BEB	SAS	Bangladesh
HG03012	BEB	SAS	Bangladesh
HG03015	PJL	SAS	Pakistan
HG03016	PJL	SAS	Pakistan
HG03018	PJL	SAS	Pakistan
HG03019	PJL	SAS	Pakistan
HG03021	PJL	SAS	Pakistan
HG03022	PJL	SAS	Pakistan
HG03024	GWD	AFR	Gambia
HG03025	GWD	AFR	Gambia
HG03027	GWD	AFR	Gambia
HG03028	GWD	AFR	Gambia
HG03039	GWD	AFR	Gambia
HG03040	GWD	AFR	Gambia
HG03045	GWD	AFR	Gambia
HG03046	GWD	AFR	Gambia
HG03048	GWD	AFR	Gambia
HG03049	GWD	AFR	Gambia
HG03052	MSL	AFR	Sierra Leone
HG03054	MSL	AFR	Sierra Leone
HG03055	MSL	AFR	Sierra Leone
HG03057	MSL	AFR	Sierra Leone
HG03058	MSL	AFR	Sierra Leone
HG03060	MSL	AFR	Sierra Leone
HG03061	MSL	AFR	Sierra Leone
HG03063	MSL	AFR	Sierra Leone
HG03064	MSL	AFR	Sierra Leone
HG03066	MSL	AFR	Sierra Leone
HG03069	MSL	AFR	Sierra Leone
HG03072	MSL	AFR	Sierra Leone
HG03073	MSL	AFR	Sierra Leone
HG03074	MSL	AFR	Sierra Leone
HG03077	MSL	AFR	Sierra Leone
HG03078	MSL	AFR	Sierra Leone
HG03079	MSL	AFR	Sierra Leone
HG03081	MSL	AFR	Sierra Leone
HG03082	MSL	AFR	Sierra Leone
HG03084	MSL	AFR	Sierra Leone
HG03085	MSL	AFR	Sierra Leone
HG03086	MSL	AFR	Sierra Leone
HG03088	MSL	AFR	Sierra Leone
HG03091	MSL	AFR	Sierra Leone
HG03095	MSL	AFR	Sierra Leone
HG03096	MSL	AFR	Sierra Leone
HG03097	MSL	AFR	Sierra Leone
HG03099	ESN	AFR	Nigeria
HG03100	ESN	AFR	Nigeria
HG03103	ESN	AFR	Nigeria
HG03105	ESN	AFR	Nigeria
HG03108	ESN	AFR	Nigeria
HG03109	ESN	AFR	Nigeria
HG03111	ESN	AFR	Nigeria
HG03112	ESN	AFR	Nigeria
HG03114	ESN	AFR	Nigeria
HG03115	ESN	AFR	Nigeria
HG03117	ESN	AFR	Nigeria
HG03118	ESN	AFR	Nigeria
HG03120	ESN	AFR	Nigeria
HG03121	ESN	AFR	Nigeria
HG03123	ESN	AFR	Nigeria
HG03124	ESN	AFR	Nigeria
HG03126	ESN	AFR	Nigeria
HG03127	ESN	AFR	Nigeria
HG03129	ESN	AFR	Nigeria
HG03130	ESN	AFR	Nigeria
HG03132	ESN	AFR	Nigeria
HG03133	ESN	AFR	Nigeria
HG03135	ESN	AFR	Nigeria
HG03136	ESN	AFR	Nigeria
HG03139	ESN	AFR	Nigeria
HG03157	ESN	AFR	Nigeria
HG03159	ESN	AFR	Nigeria
HG03160	ESN	AFR	Nigeria
HG03162	ESN	AFR	Nigeria
HG03163	ESN	AFR	Nigeria
HG03166	ESN	AFR	Nigeria
HG03168	ESN	AFR	Nigeria
HG03169	ESN	AFR	Nigeria
HG03172	ESN	AFR	Nigeria
HG03175	ESN	AFR	Nigeria
HG03189	ESN	AFR	Nigeria
HG03190	ESN	AFR	Nigeria
HG03193	ESN	AFR	Nigeria
HG03195	ESN	AFR	Nigeria
HG03196	ESN	AFR	Nigeria
HG03198	ESN	AFR	Nigeria
HG03199	ESN	AFR	Nigeria
HG03202	ESN	AFR	Nigeria
HG03209	MSL	AFR	Sierra Leone
HG03212	MSL	AFR	Sierra Leone
HG03224	MSL	AFR	Sierra Leone
HG03225	MSL	AFR	Sierra Leone
HG03228	PJL	SAS	Pakistan
HG03229	PJL	SAS	Pakistan
HG03234	PJL	SAS	Pakistan
HG03235	PJL	SAS	Pakistan
HG03237	PJL	SAS	Pakistan
HG03238	PJL	SAS	Pakistan
HG03240	GWD	AFR	Gambia
HG03241	GWD	AFR	Gambia
HG03246	GWD	AFR	Gambia
HG03247	GWD	AFR	Gambia
HG03258	GWD	AFR	Gambia
HG03259	GWD	AFR	Gambia
HG03265	ESN	AFR	Nigeria
HG03267	ESN	AFR	Nigeria
HG03268	ESN	AFR	Nigeria
HG03270	ESN	AFR	Nigeria
HG03271	ESN	AFR	Nigeria
HG03279	ESN	AFR	Nigeria
HG03280	ESN	AFR	Nigeria
HG03291	ESN	AFR	Nigeria
HG03294	ESN	AFR	Nigeria
HG03295	ESN	AFR	Nigeria
HG03297	ESN	AFR	Nigeria
HG03298	ESN	AFR	Nigeria
HG03300	ESN	AFR	Nigeria
HG03301	ESN	AFR	Nigeria
HG03303	ESN	AFR	Nigeria
HG03304	ESN	AFR	Nigeria
HG03311	ESN	AFR	Nigeria
HG03313	ESN	AFR	Nigeria
HG03342	ESN	AFR	Nigeria
HG03343	ESN	AFR	Nigeria
HG03351	ESN	AFR	Nigeria
HG03352	ESN	AFR	Nigeria
HG03354	ESN	AFR	Nigeria
HG03363	ESN	AFR	Nigeria
HG03366	ESN	AFR	Nigeria
HG03367	ESN	AFR	Nigeria
HG03369	ESN	AFR	Nigeria
HG03370	ESN	AFR	Nigeria
HG03372	ESN	AFR	Nigeria
HG03376	MSL	AFR	Sierra Leone
HG03378	MSL	AFR	Sierra Leone
HG03380	MSL	AFR	Sierra Leone
HG03382	MSL	AFR	Sierra Leone
HG03385	MSL	AFR	Sierra Leone
HG03388	MSL	AFR	Sierra Leone
HG03391	MSL	AFR	Sierra Leone
HG03394	MSL	AFR	Sierra Leone
HG03397	MSL	AFR	Sierra Leone
HG03401	MSL	AFR	Sierra Leone
HG03410	MSL	AFR	Sierra Leone
HG03419	MSL	AFR	Sierra Leone
HG03428	MSL	AFR	Sierra Leone
HG03432	MSL	AFR	Sierra Leone
HG03433	MSL	AFR	Sierra Leone
HG03436	MSL	AFR	Sierra Leone
HG03437	MSL	AFR	Sierra Leone
HG03439	MSL	AFR	Sierra Leone
HG03442	MSL	AFR	Sierra Leone
HG03445	MSL	AFR	Sierra Leone
HG03446	MSL	AFR	Sierra Leone
HG03449	MSL	AFR	Sierra Leone
HG03451	MSL	AFR	Sierra Leone
HG03452	MSL	AFR	Sierra Leone
HG03455	MSL	AFR	Sierra Leone
HG03457	MSL	AFR	Sierra Leone
HG03458	MSL	AFR	Sierra Leone
HG03460	MSL	AFR	Sierra Leone
HG03461	MSL	AFR	Sierra Leone
HG03464	MSL	AFR	Sierra Leone
HG03469	MSL	AFR	Sierra Leone
HG03470	MSL	AFR	Sierra Leone
HG03472	MSL	AFR	Sierra Leone
HG03473	MSL	AFR	Sierra Leone
HG03476	MSL	AFR	Sierra Leone
HG03478	MSL	AFR	Sierra Leone
HG03479	MSL	AFR	Sierra Leone
HG03484	MSL	AFR	Sierra Leone
HG03485	MSL	AFR	Sierra Leone
HG03488	PJL	SAS	Pakistan
HG03490	PJL	SAS	Pakistan
HG03491	PJL	SAS	Pakistan
HG03499	ESN	AFR	Nigeria
HG03511	ESN	AFR	Nigeria
HG03514	ESN	AFR	Nigeria
HG03515	ESN	AFR	Nigeria
HG03517	ESN	AFR	Nigeria
HG03518	ESN	AFR	Nigeria
HG03520	ESN	AFR	Nigeria
HG03521	ESN	AFR	Nigeria
HG03538	GWD	AFR	Gambia
HG03539	GWD	AFR	Gambia
HG03547	MSL	AFR	Sierra Leone
HG03548	MSL	AFR	Sierra Leone
HG03556	MSL	AFR	Sierra Leone
HG03557	MSL	AFR	Sierra Leone
HG03558	MSL	AFR	Sierra Leone
HG03559	MSL	AFR	Sierra Leone
HG03563	MSL	AFR	Sierra Leone
HG03565	MSL	AFR	Sierra Leone
HG03567	MSL	AFR	Sierra Leone
HG03571	MSL	AFR	Sierra Leone
HG03572	MSL	AFR	Sierra Leone
HG03575	MSL	AFR	Sierra Leone
HG03577	MSL	AFR	Sierra Leone
HG03578	MSL	AFR	Sierra Leone
HG03583	MSL	AFR	Sierra Leone
HG03585	BEB	SAS	Bangladesh
HG03589	BEB	SAS	Bangladesh
HG03593	BEB	SAS	Bangladesh
HG03594	BEB	SAS	Bangladesh
HG03595	BEB	SAS	Bangladesh
HG03598	BEB	SAS	Bangladesh
HG03600	BEB	SAS	Bangladesh
HG03603	BEB	SAS	Bangladesh
HG03604	BEB	SAS	Bangladesh
HG03607	BEB	SAS	Bangladesh
HG03611	BEB	SAS	Bangladesh
HG03615	BEB	SAS	Bangladesh
HG03616	BEB	SAS	Bangladesh
HG03619	PJL	SAS	Pakistan
HG03624	PJL	SAS	Pakistan
HG03625	PJL	SAS	Pakistan
HG03629	PJL	SAS	Pakistan
HG03631	PJL	SAS	Pakistan
HG03634	PJL	SAS	Pakistan
HG03636	PJL	SAS	Pakistan
HG03640	PJL	SAS	Pakistan
HG03642	STU	SAS	UK
HG03643	STU	SAS	UK
HG03644	STU	SAS	UK
HG03645	STU	SAS	UK
HG03646	STU	SAS	UK
HG03649	PJL	SAS	Pakistan
HG03652	PJL	SAS	Pakistan
HG03653	PJL	SAS	Pakistan
HG03660	PJL	SAS	Pakistan
HG03663	PJL	SAS	Pakistan
HG03667	PJL	SAS	Pakistan
HG03668	PJL	SAS	Pakistan
HG03672	STU	SAS	UK
HG03673	STU	SAS	UK
HG03679	STU	SAS	UK
HG03680	STU	SAS	UK
HG03681	STU	SAS	UK
HG03684	STU	SAS	UK
HG03685	STU	SAS	UK
HG03686	STU	SAS	UK
HG03687	STU	SAS	UK
HG03689	STU	SAS	UK
HG03690	STU	SAS	UK
HG03691	STU	SAS	UK
HG03692	STU	SAS	UK
HG03693	STU	SAS	UK
HG03694	STU	SAS	UK
HG03695	STU	SAS	UK
HG03696	STU	SAS	UK
HG03697	STU	SAS	UK
HG03698	STU	SAS	UK
HG03702	PJL	SAS	Pakistan
HG03703	PJL	SAS	Pakistan
HG03705	PJL	SAS	Pakistan
HG03706	PJL	SAS	Pakistan
HG03708	PJL	SAS	Pakistan
HG03709	PJL	SAS	Pakistan
HG03711	STU	SAS	UK
HG03713	ITU	SAS	UK
HG03714	ITU	SAS	UK
HG03716	ITU	SAS	UK
HG03717	ITU	SAS	UK
HG03718	ITU	SAS	UK
HG03720	ITU	SAS	UK
HG03722	ITU	SAS	UK
HG03727	ITU	SAS	UK
HG03729	ITU	SAS	UK
HG03730	ITU	SAS	UK
HG03731	ITU	SAS	UK
HG03733	STU	SAS	UK
HG03736	STU	SAS	UK
HG03738	STU	SAS	UK
HG03740	STU	SAS	UK
HG03741	STU	SAS	UK
HG03742	ITU	SAS	UK
HG03743	STU	SAS	UK
HG03744	STU	SAS	UK
HG03745	STU	SAS	UK
HG03746	STU	SAS	UK
HG03750	STU	SAS	UK
HG03752	STU	SAS	UK
HG03753	STU	SAS	UK
HG03754	STU	SAS	UK
HG03755	STU	SAS	UK
HG03756	STU	SAS	UK
HG03757	STU	SAS	UK
HG03760	STU	SAS	UK
HG03762	PJL	SAS	Pakistan
HG03765	PJL	SAS	Pakistan
HG03767	PJL	SAS	Pakistan
HG03770	ITU	SAS	UK
HG03771	ITU	SAS	UK
HG03772	ITU	SAS	UK
HG03773	ITU	SAS	UK
HG03774	ITU	SAS	UK
HG03775	ITU	SAS	UK
HG03777	ITU	SAS	UK
HG03778	ITU	SAS	UK
HG03779	ITU	SAS	UK
HG03780	ITU	SAS	UK
HG03781	ITU	SAS	UK
HG03782	ITU	SAS	UK
HG03784	ITU	SAS	UK
HG03785	ITU	SAS	UK
HG03786	ITU	SAS	UK
HG03787	ITU	SAS	UK
HG03788	ITU	SAS	UK
HG03789	ITU	SAS	UK
HG03790	ITU	SAS	UK
HG03792	ITU	SAS	UK
HG03793	BEB	SAS	Bangladesh
HG03796	BEB	SAS	Bangladesh
HG03800	BEB	SAS	Bangladesh
HG03802	BEB	SAS	Bangladesh
HG03803	BEB	SAS	Bangladesh
HG03805	BEB	SAS	Bangladesh
HG03808	BEB	SAS	Bangladesh
HG03809	BEB	SAS	Bangladesh
HG03812	BEB	SAS	Bangladesh
HG03814	BEB	SAS	Bangladesh
HG03815	BEB	SAS	Bangladesh
HG03817	BEB	SAS	Bangladesh
HG03821	BEB	SAS	Bangladesh
HG03823	BEB	SAS	Bangladesh
HG03824	BEB	SAS	Bangladesh
HG03826	BEB	SAS	Bangladesh
HG03829	BEB	SAS	Bangladesh
HG03830	BEB	SAS	Bangladesh
HG03832	BEB	SAS	Bangladesh
HG03833	BEB	SAS	Bangladesh
HG03836	STU	SAS	UK
HG03837	STU	SAS	UK
HG03838	STU	SAS	UK
HG03844	STU	SAS	UK
HG03846	STU	SAS	UK
HG03848	STU	SAS	UK
HG03849	STU	SAS	UK
HG03850	STU	SAS	UK
HG03851	STU	SAS	UK
HG03854	STU	SAS	UK
HG03856	STU	SAS	UK
HG03857	STU	SAS	UK
HG03858	STU	SAS	UK
HG03861	ITU	SAS	UK
HG03862	ITU	SAS	UK
HG03863	ITU	SAS	UK
HG03864	ITU	SAS	UK
HG03866	ITU	SAS	UK
HG03867	ITU	SAS	UK
HG03868	ITU	SAS	UK
HG03869	ITU	SAS	UK
HG03870	ITU	SAS	UK
HG03871	ITU	SAS	UK
HG03872	ITU	SAS	UK
HG03873	ITU	SAS	UK
HG03874	ITU	SAS	UK
HG03875	ITU	SAS	UK
HG03882	ITU	SAS	UK
HG03884	STU	SAS	UK
HG03885	STU	SAS	UK
HG03886	STU	SAS	UK
HG03887	STU	SAS	UK
HG03888	STU	SAS	UK
HG03890	STU	SAS	UK
HG03894	STU	SAS	UK
HG03895	STU	SAS	UK
HG03896	STU	SAS	UK
HG03897	STU	SAS	UK
HG03898	STU	SAS	UK
HG03899	STU	SAS	UK
HG03900	STU	SAS	UK
HG03902	BEB	SAS	Bangladesh
HG03905	BEB	SAS	Bangladesh
HG03907	BEB	SAS	Bangladesh
HG03908	BEB	SAS	Bangladesh
HG03910	BEB	SAS	Bangladesh
HG03911	BEB	SAS	Bangladesh
HG03913	BEB	SAS	Bangladesh
HG03914	BEB	SAS	Bangladesh
HG03916	BEB	SAS	Bangladesh
HG03917	BEB	SAS	Bangladesh
HG03919	BEB	SAS	Bangladesh
HG03920	BEB	SAS	Bangladesh
HG03922	BEB	SAS	Bangladesh
HG03925	BEB	SAS	Bangladesh
HG03926	BEB	SAS	Bangladesh
HG03928	BEB	SAS	Bangladesh
HG03931	BEB	SAS	Bangladesh
HG03934	BEB	SAS	Bangladesh
HG03937	BEB	SAS	Bangladesh
HG03940	BEB	SAS	Bangladesh
HG03941	BEB	SAS	Bangladesh
HG03943	STU	SAS	UK
HG03944	STU	SAS	UK
HG03945	STU	SAS	UK
HG03947	STU	SAS	UK
HG03949	STU	SAS	UK
HG03950	STU	SAS	UK
HG03951	STU	SAS	UK
HG03953	STU	SAS	UK
HG03955	STU	SAS	UK
HG03960	ITU	SAS	UK
HG03963	ITU	SAS	UK
HG03965	ITU	SAS	UK
HG03967	ITU	SAS	UK
HG03968	ITU	SAS	UK
HG03969	ITU	SAS	UK
HG03971	ITU	SAS	UK
HG03973	ITU	SAS	UK
HG03974	ITU	SAS	UK
HG03976	ITU	SAS	UK
HG03977	ITU	SAS	UK
HG03978	ITU	SAS	UK
HG03985	STU	SAS	UK
HG03986	STU	SAS	UK
HG03989	STU	SAS	UK
HG03990	STU	SAS	UK
HG03991	STU	SAS	UK
HG03995	STU	SAS	UK
HG03998	STU	SAS	UK
HG03999	STU	SAS	UK
HG04001	ITU	SAS	UK
HG04002	ITU	SAS	UK
HG04003	STU	SAS	UK
HG04006	STU	SAS	UK
HG04014	ITU	SAS	UK
HG04015	ITU	SAS	UK
HG04017	ITU	SAS	UK
HG04018	ITU	SAS	UK
HG04019	ITU	SAS	UK
HG04020	ITU	SAS	UK
HG04022	ITU	SAS	UK
HG04023	ITU	SAS	UK
HG04025	ITU	SAS	UK
HG04026	ITU	SAS	UK
HG04029	STU	SAS	UK
HG04033	STU	SAS	UK
HG04035	STU	SAS	UK
HG04038	STU	SAS	UK
HG04039	STU	SAS	UK
HG04042	STU	SAS	UK
HG04047	STU	SAS	UK
HG04054	ITU	SAS	UK
HG04056	ITU	SAS	UK
HG04059	ITU	SAS	UK
HG04060	ITU	SAS	UK
HG04061	ITU	SAS	UK
HG04062	ITU	SAS	UK
HG04063	ITU	SAS	UK
HG04070	ITU	SAS	UK
HG04075	STU	SAS	UK
HG04076	ITU	SAS	UK
HG04080	ITU	SAS	UK
HG04090	ITU	SAS	UK
HG04093	ITU	SAS	UK
HG04094	ITU	SAS	UK
HG04096	ITU	SAS	UK
HG04098	ITU	SAS	UK
HG04099	STU	SAS	UK
HG04100	STU	SAS	UK
HG04106	STU	SAS	UK
HG04107	STU	SAS	UK
HG04118	ITU	SAS	UK
HG04131	BEB	SAS	Bangladesh
