subject_id	population_descriptor	population_label	country_of_recruitment
HG01673	population | superpopulation	IBS | EUR	Spain
HG01675	population | superpopulation	IBS | EUR	Spain
HG01676	population | superpopulation	IBS | EUR	Spain
HG01678	population | superpopulation	IBS | EUR	Spain
HG01679	population | superpopulation	IBS | EUR	Spain
HG01680	population | superpopulation	IBS | EUR	Spain
HG01682	population | superpopulation	IBS | EUR	Spain
HG01684	population | superpopulation	IBS | EUR	Spain
HG01685	population | superpopulation	IBS | EUR	Spain
HG01686	population | superpopulation	IBS | EUR	Spain
HG01694	population | superpopulation	IBS | EUR	Spain
HG01695	population | superpopulation	IBS | EUR	Spain
HG01697	population | superpopulation	IBS | EUR	Spain
HG01699	population | superpopulation	IBS | EUR	Spain
HG01700	population | superpopulation	IBS | EUR	Spain
HG01702	population | superpopulation	IBS | EUR	Spain
HG01704	population | superpopulation	IBS | EUR	Spain
HG01705	population | superpopulation	IBS | EUR	Spain
HG01707	population | superpopulation	IBS | EUR	Spain
HG01708	population | superpopulation	IBS | EUR	Spain
HG01709	population | superpopulation	IBS | EUR	Spain
HG01710	population | superpopulation	IBS | EUR	Spain
HG01746	population | superpopulation	IBS | EUR	Spain
HG01747	population | superpopulation	IBS | EUR	Spain
HG01756	population | superpopulation	IBS | EUR	Spain
HG01757	population | superpopulation	IBS | EUR	Spain
HG01761	population | superpopulation	IBS | EUR	Spain
HG01762	population | superpopulation	IBS | EUR	Spain
HG01765	population | superpopulation	IBS | EUR	Spain
HG01766	population | superpopulation	IBS | EUR	Spain
HG01767	population | superpopulation	IBS | EUR	Spain
HG01768	population | superpopulation	IBS | EUR	Spain
HG01770	population | superpopulation	IBS | EUR	Spain
HG01771	population | superpopulation	IBS | EUR	Spain
HG01773	population | superpopulation	IBS | EUR	Spain
HG01775	population | superpopulation	IBS | EUR	Spain
HG01776	population | superpopulation	IBS | EUR	Spain
HG01777	population | superpopulation	IBS | EUR	Spain
HG01779	population | superpopulation	IBS | EUR	Spain
HG01781	population | superpopulation	IBS | EUR	Spain
HG01783	population | superpopulation	IBS | EUR	Spain
HG01784	population | superpopulation	IBS | EUR	Spain
HG01785	population | superpopulation	IBS | EUR	Spain
HG01786	population | superpopulation	IBS | EUR	Spain
HG01789	population | superpopulation	GBR | EUR	UK
HG01790	population | superpopulation	GBR | EUR	UK
HG01791	population | superpopulation	GBR | EUR	UK
HG01794	population | superpopulation	CDX | EAS	China
HG01795	population | superpopulation	CDX | EAS	China
HG01796	population | superpopulation	CDX | EAS	China
HG01797	population | superpopulation	CDX | EAS	China
HG01798	population | superpopulation	CDX | EAS	China
HG01799	population | superpopulation	CDX | EAS	China
HG01800	population | superpopulation	CDX | EAS	China
HG01801	population | superpopulation	CDX | EAS	China
HG01802	population | superpopulation	CDX | EAS	China
HG01804	population | superpopulation	CDX | EAS	China
HG01805	population | superpopulation	CDX | EAS	China
HG01806	population | superpopulation	CDX | EAS	China
HG01807	population | superpopulation	CDX | EAS	China
HG01808	population | superpopulation	CDX | EAS	China
HG01809	population | superpopulation	CDX | EAS	China
HG01810	population | superpopulation	CDX | EAS	China
HG01811	population | superpopulation	CDX | EAS	China
HG01812	population | superpopulation	CDX | EAS	China
HG01813	population | superpopulation	CDX | EAS	China
HG01815	population | superpopulation	CDX | EAS	China
HG01816	population | superpopulation	CDX | EAS	China
HG01817	population | superpopulation	CDX | EAS	China
HG01840	population | superpopulation	KHV | EAS	Vietnam
HG01841	population | superpopulation	KHV | EAS	Vietnam
HG01842	population | superpopulation	KHV | EAS	Vietnam
HG01843	population | superpopulation	KHV | EAS	Vietnam
HG01844	population | superpopulation	KHV | EAS	Vietnam
HG01845	population | superpopulation	KHV | EAS	Vietnam
HG01846	population | superpopulation	KHV | EAS	Vietnam
HG01847	population | superpopulation	KHV | EAS	Vietnam
HG01848	population | superpopulation	KHV | EAS	Vietnam
HG01849	population | superpopulation	KHV | EAS	Vietnam
HG01850	population | superpopulation	KHV | EAS	Vietnam
HG01851	population | superpopulation	KHV | EAS	Vietnam
HG01852	population | superpopulation	KHV | EAS	Vietnam
HG01853	population | superpopulation	KHV | EAS	Vietnam
HG01855	population | superpopulation	KHV | EAS	Vietnam
HG01857	population | superpopulation	KHV | EAS	Vietnam
HG01858	population | superpopulation	KHV | EAS	Vietnam
HG01859	population | superpopulation	KHV | EAS	Vietnam
HG01860	population | superpopulation	KHV | EAS	Vietnam
HG01861	population | superpopulation	KHV | EAS	Vietnam
HG01862	population | superpopulation	KHV | EAS	Vietnam
HG01863	population | superpopulation	KHV | EAS	Vietnam
HG01864	population | superpopulation	KHV | EAS	Vietnam
HG01865	population | superpopulation	KHV | EAS	Vietnam
HG01866	population | superpopulation	KHV | EAS	Vietnam
HG01867	population | superpopulation	KHV | EAS	Vietnam
HG01868	population | superpopulation	KHV | EAS	Vietnam
HG01869	population | superpopulation	KHV | EAS	Vietnam
HG01870	population | superpopulation	KHV | EAS	Vietnam
HG01871	population | superpopulation	KHV | EAS	Vietnam
HG01872	population | superpopulation	KHV | EAS	Vietnam
HG01873	population | superpopulation	KHV | EAS	Vietnam
HG01874	population | superpopulation	KHV | EAS	Vietnam
HG01878	population | superpopulation	KHV | EAS	Vietnam
HG01879	population | superpopulation	ACB | AFR	Barbados
HG01880	population | superpopulation	ACB | AFR	Barbados
HG01882	population | superpopulation	ACB | AFR	Barbados
HG01883	population | superpopulation	ACB | AFR	Barbados
HG01885	population | superpopulation	ACB | AFR	Barbados
HG01886	population | superpopulation	ACB | AFR	Barbados
HG01889	population | superpopulation	ACB | AFR	Barbados
HG01890	population | superpopulation	ACB | AFR	Barbados
HG01892	population | superpopulation	PEL | AMR	Peru
HG01893	population | superpopulation	PEL | AMR	Peru
HG01894	population | superpopulation	ACB | AFR	Barbados
HG01896	population | superpopulation	ACB | AFR	Barbados
HG01912	population | superpopulation	ACB | AFR	Barbados
HG01914	population | superpopulation	ACB | AFR	Barbados
HG01915	population | superpopulation	ACB | AFR	Barbados
HG01917	population | superpopulation	PEL | AMR	Peru
HG01918	population | superpopulation	PEL | AMR	Peru
HG01920	population | superpopulation	PEL | AMR	Peru
HG01921	population | superpopulation	PEL | AMR	Peru
HG01923	population | superpopulation	PEL | AMR	Peru
HG01924	population | superpopulation	PEL | AMR	Peru
HG01926	population | superpopulation	PEL | AMR	Peru
HG01927	population | superpopulation	PEL | AMR	Peru
HG01932	population | superpopulation	PEL | AMR	Peru
HG01933	population | superpopulation	PEL | AMR	Peru
HG01935	population | superpopulation	PEL | AMR	Peru
HG01936	population | superpopulation	PEL | AMR	Peru
HG01938	population | superpopulation	PEL | AMR	Peru
HG01939	population | superpopulation	PEL | AMR	Peru
HG01941	population | superpopulation	PEL | AMR	Peru
HG01942	population | superpopulation	PEL | AMR	Peru
HG01944	population | superpopulation	PEL | AMR	Peru
HG01945	population | superpopulation	PEL | AMR	Peru
HG01947	population | superpopulation	PEL | AMR	Peru
HG01948	population | superpopulation	PEL | AMR	Peru
HG01950	population | superpopulation	PEL | AMR	Peru
HG01951	population | superpopulation	PEL | AMR	Peru
HG01953	population | superpopulation	PEL | AMR	Peru
HG01954	population | superpopulation	PEL | AMR	Peru
HG01956	population | superpopulation	ACB | AFR	Barbados
HG01958	population | superpopulation	ACB | AFR	Barbados
HG01961	population | superpopulation	PEL | AMR	Peru
HG01965	population | superpopulation	PEL | AMR	Peru
HG01967	population | superpopulation	PEL | AMR	Peru
HG01968	population | superpopulation	PEL | AMR	Peru
HG01970	population | superpopulation	PEL | AMR	Peru
HG01971	population | superpopulation	PEL | AMR	Peru
HG01973	population | superpopulation	PEL | AMR	Peru
HG01974	population | superpopulation	PEL | AMR	Peru
HG01976	population | superpopulation	PEL | AMR	Peru
HG01977	population | superpopulation	PEL | AMR	Peru
HG01979	population | superpopulation	PEL | AMR	Peru
HG01980	population | superpopulation	PEL | AMR	Peru
HG01982	population | superpopulation	PEL | AMR	Peru
HG01985	population | superpopulation	ACB | AFR	Barbados
HG01986	population | superpopulation	ACB | AFR	Barbados
HG01988	population | superpopulation	ACB | AFR	Barbados
HG01989	population | superpopulation	ACB | AFR	Barbados
HG01990	population | superpopulation	ACB | AFR	Barbados
HG01991	population | superpopulation	PEL | AMR	Peru
HG01992	population | superpopulation	PEL | AMR	Peru
HG01997	population | superpopulation	PEL | AMR	Peru
HG02002	population | superpopulation	PEL | AMR	Peru
HG02003	population | superpopulation	PEL | AMR	Peru
HG02006	population | superpopulation	PEL | AMR	Peru
HG02008	population | superpopulation	PEL | AMR	Peru
HG02009	population | superpopulation	ACB | AFR	Barbados
HG02010	population | superpopulation	ACB | AFR	Barbados
HG02012	population | superpopulation	ACB | AFR	Barbados
HG02013	population | superpopulation	ACB | AFR	Barbados
HG02014	population | superpopulation	ACB | AFR	Barbados
HG02016	population | superpopulation	KHV | EAS	Vietnam
HG02017	population | superpopulation	KHV | EAS	Vietnam
HG02019	population | superpopulation	KHV | EAS	Vietnam
HG02020	population | superpopulation	KHV | EAS	Vietnam
HG02023	population | superpopulation	KHV | EAS	Vietnam
HG02025	population | superpopulation	KHV | EAS	Vietnam
HG02026	population | superpopulation	KHV | EAS	Vietnam
HG02028	population | superpopulation	KHV | EAS	Vietnam
HG02029	population | superpopulation	KHV | EAS	Vietnam
HG02031	population | superpopulation	KHV | EAS	Vietnam
HG02032	population | superpopulation	KHV | EAS	Vietnam
HG02035	population | superpopulation	KHV | EAS	Vietnam
HG02040	population | superpopulation	KHV | EAS	Vietnam
HG02047	population | superpopulation	KHV | EAS	Vietnam
HG02048	population | superpopulation	KHV | EAS	Vietnam
HG02049	population | superpopulation	KHV | EAS	Vietnam
HG02050	population | superpopulation	KHV | EAS	Vietnam
HG02051	population | superpopulation	ACB | AFR	Barbados
HG02052	population | superpopulation	ACB | AFR	Barbados
HG02053	population | superpopulation	ACB | AFR	Barbados
HG02054	population | superpopulation	ACB | AFR	Barbados
HG02057	population | superpopulation	KHV | EAS	Vietnam
HG02058	population | superpopulation	KHV | EAS	Vietnam
HG02060	population | superpopulation	KHV | EAS	Vietnam
HG02061	population | superpopulation	KHV | EAS	Vietnam
HG02064	population | superpopulation	KHV | EAS	Vietnam
HG02067	population | superpopulation	KHV | EAS	Vietnam
HG02069	population | superpopulation	KHV | EAS	Vietnam
HG02070	population | superpopulation	KHV | EAS	Vietnam
HG02072	population | superpopulation	KHV | EAS	Vietnam
HG02073	population | superpopulation	KHV | EAS	Vietnam
HG02075	population | superpopulation	KHV | EAS	Vietnam
HG02076	population | superpopulation	KHV | EAS	Vietnam
HG02078	population | superpopulation	KHV | EAS	Vietnam
HG02079	population | superpopulation	KHV | EAS	Vietnam
HG02081	population | superpopulation	KHV | EAS	Vietnam
HG02082	population | superpopulation	KHV | EAS	Vietnam
HG02084	population | superpopulation	KHV | EAS	Vietnam
HG02085	population | superpopulation	KHV | EAS	Vietnam
HG02086	population | superpopulation	KHV | EAS	Vietnam
HG02087	population | superpopulation	KHV | EAS	Vietnam
HG02088	population | superpopulation	KHV | EAS	Vietnam
HG02089	population | superpopulation	PEL | AMR	Peru
HG02090	population | superpopulation	PEL | AMR	Peru
HG02095	population | superpopulation	ACB | AFR	Barbados
HG02102	population | superpopulation	PEL | AMR	Peru
HG02104	population | superpopulation	PEL | AMR	Peru
HG02105	population | superpopulation	PEL | AMR	Peru
HG02107	population | superpopulation	ACB | AFR	Barbados
HG02108	population | superpopulation	ACB | AFR	Barbados
HG02111	population | superpopulation	ACB | AFR	Barbados
HG02113	population | superpopulation	KHV | EAS	Vietnam
HG02116	population | superpopulation	KHV | EAS	Vietnam
HG02121	population | superpopulation	KHV | EAS	Vietnam
HG02122	population | superpopulation	KHV | EAS	Vietnam
HG02127	population | superpopulation	KHV | EAS	Vietnam
HG02128	population | superpopulation	KHV | EAS	Vietnam
HG02130	population | superpopulation	KHV | EAS	Vietnam
HG02131	population | superpopulation	KHV | EAS	Vietnam
HG02133	population | superpopulation	KHV | EAS	Vietnam
HG02134	population | superpopulation	KHV | EAS	Vietnam
HG02136	population | superpopulation	KHV | EAS	Vietnam
HG02137	population | superpopulation	KHV | EAS	Vietnam
HG02138	population | superpopulation	KHV | EAS	Vietnam
HG02139	population | superpopulation	KHV | EAS	Vietnam
HG02140	population | superpopulation	KHV | EAS	Vietnam
HG02141	population | superpopulation	KHV | EAS	Vietnam
HG02142	population | superpopulation	KHV | EAS	Vietnam
HG02143	population | superpopulation	ACB | AFR	Barbados
HG02144	population | superpopulation	ACB | AFR	Barbados
HG02146	population | superpopulation	PEL | AMR	Peru
HG02147	population | superpopulation	PEL | AMR	Peru
HG02150	population | superpopulation	PEL | AMR	Peru
HG02151	population | superpopulation	CDX | EAS	China
HG02152	population | superpopulation	CDX | EAS	China
HG02153	population | superpopulation	CDX | EAS	China
HG02154	population | superpopulation	CDX | EAS	China
HG02155	population | superpopulation	CDX | EAS	China
HG02156	population | superpopulation	CDX | EAS	China
HG02164	population | superpopulation	CDX | EAS	China
HG02165	population | superpopulation	CDX | EAS	China
HG02166	population | superpopulation	CDX | EAS	China
HG02178	population | superpopulation	CDX | EAS	China
HG02179	population | superpopulation	CDX | EAS	China
HG02180	population | superpopulation	CDX | EAS	China
HG02181	population | superpopulation	CDX | EAS	China
HG02182	population | superpopulation	CDX | EAS	China
HG02184	population | superpopulation	CDX | EAS	China
HG02185	population | superpopulation	CDX | EAS	China
HG02186	population | superpopulation	CDX | EAS	China
HG02187	population | superpopulation	CDX | EAS	China
HG02188	population | superpopulation	CDX | EAS	China
HG02190	population | superpopulation	CDX | EAS	China
HG02215	population | superpopulation	GBR | EUR	UK
HG02219	population | superpopulation	IBS | EUR	Spain
HG02220	population | superpopulation	IBS | EUR	Spain
HG02221	population | superpopulation	IBS | EUR	Spain
HG02223	population | superpopulation	IBS | EUR	Spain
HG02224	population | superpopulation	IBS | EUR	Spain
HG02230	population | superpopulation	IBS | EUR	Spain
HG02231	population | superpopulation	IBS | EUR	Spain
HG02232	population | superpopulation	IBS | EUR	Spain
HG02233	population | superpopulation	IBS | EUR	Spain
HG02235	population | superpopulation	IBS | EUR	Spain
HG02236	population | superpopulation	IBS | EUR	Spain
HG02238	population | superpopulation	IBS | EUR	Spain
HG02239	population | superpopulation	IBS | EUR	Spain
HG02250	population | superpopulation	CDX | EAS	China
HG02252	population | superpopulation	PEL | AMR	Peru
HG02253	population | superpopulation	PEL | AMR	Peru
HG02255	population | superpopulation	ACB | AFR	Barbados
HG02256	population | superpopulation	ACB | AFR	Barbados
HG02259	population | superpopulation	PEL | AMR	Peru
HG02260	population | superpopulation	PEL | AMR	Peru
HG02262	population | superpopulation	PEL | AMR	Peru
HG02265	population | superpopulation	PEL | AMR	Peru
HG02266	population | superpopulation	PEL | AMR	Peru
HG02271	population | superpopulation	PEL | AMR	Peru
HG02272	population | superpopulation	PEL | AMR	Peru
HG02274	population | superpopulation	PEL | AMR	Peru
HG02275	population | superpopulation	PEL | AMR	Peru
HG02277	population | superpopulation	PEL | AMR	Peru
HG02278	population | superpopulation	PEL | AMR	Peru
HG02281	population | superpopulation	ACB | AFR	Barbados
HG02282	population | superpopulation	ACB | AFR	Barbados
HG02283	population | superpopulation	ACB | AFR	Barbados
HG02284	population | superpopulation	ACB | AFR	Barbados
HG02285	population | superpopulation	PEL | AMR	Peru
HG02286	population | superpopulation	PEL | AMR	Peru
HG02291	population | superpopulation	PEL | AMR	Peru
HG02292	population | superpopulation	PEL | AMR	Peru
HG02298	population | superpopulation	PEL | AMR	Peru
HG02299	population | superpopulation	PEL | AMR	Peru
HG02301	population | superpopulation	PEL | AMR	Peru
HG02304	population | superpopulation	PEL | AMR	Peru
HG02307	population | superpopulation	ACB | AFR	Barbados
HG02308	population | superpopulation	ACB | AFR	Barbados
HG02309	population | superpopulation	ACB | AFR	Barbados
HG02312	population | superpopulation	PEL | AMR	Peru
HG02314	population | superpopulation	ACB | AFR	Barbados
HG02315	population | superpopulation	ACB | AFR	Barbados
HG02317	population | superpopulation	ACB | AFR	Barbados
HG02318	population | superpopulation	ACB | AFR	Barbados
HG02322	population | superpopulation	ACB | AFR	Barbados
HG02323	population | superpopulation	ACB | AFR	Barbados
HG02325	population | superpopulation	ACB | AFR	Barbados
HG02330	population | superpopulation	ACB | AFR	Barbados
HG02332	population | superpopulation	ACB | AFR	Barbados
HG02334	population | superpopulation	ACB | AFR	Barbados
HG02337	population | superpopulation	ACB | AFR	Barbados
HG02339	population | superpopulation	ACB | AFR	Barbados
HG02343	population | superpopulation	ACB | AFR	Barbados
HG02345	population | superpopulation	PEL | AMR	Peru
HG02348	population | superpopulation	PEL | AMR	Peru
HG02351	population | superpopulation	CDX | EAS	China
HG02353	population | superpopulation	CDX | EAS	China
HG02355	population | superpopulation	CDX | EAS	China
HG02356	population | superpopulation	CDX | EAS	China
HG02360	population | superpopulation	CDX | EAS	China
HG02364	population | superpopulation	CDX | EAS	China
HG02367	population | superpopulation	CDX | EAS	China
HG02371	population | superpopulation	CDX | EAS	China
HG02373	population | superpopulation	CDX | EAS	China
HG02374	population | superpopulation	CDX | EAS	China
HG02375	population | superpopulation	CDX | EAS	China
HG02379	population | superpopulation	CDX | EAS	China
HG02380	population | superpopulation	CDX | EAS	China
HG02382	population | superpopulation	CDX | EAS	China
HG02383	population | superpopulation	CDX | EAS	China
HG02384	population | superpopulation	CDX | EAS	China
HG02385	population | superpopulation	CDX | EAS	China
HG02386	population | superpopulation	CDX | EAS	China
HG02389	population | superpopulation	CDX | EAS	China
HG02390	population | superpopulation	CDX | EAS	China
HG02391	population | superpopulation	CDX | EAS	China
HG02392	population | superpopulation	CDX | EAS	China
HG02394	population | superpopulation	CDX | EAS	China
HG02395	population | superpopulation	CDX | EAS	China
HG02396	population | superpopulation	CDX | EAS	China
HG02397	population | superpopulation	CDX | EAS	China
HG02398	population | superpopulation	CDX | EAS	China
HG02399	population | superpopulation	CDX | EAS	China
HG02401	population | superpopulation	CDX | EAS	China
HG02402	population | superpopulation	CDX | EAS	China
HG02406	population | superpopulation	CDX | EAS	China
HG02407	population | superpopulation	CDX | EAS	China
HG02408	population | superpopulation	CDX | EAS	China
HG02409	population | superpopulation	CDX | EAS	China
HG02410	population | superpopulation	CDX | EAS	China
HG02419	population | superpopulation	ACB | AFR	Barbados
HG02420	population | superpopulation	ACB | AFR	Barbados
HG02425	population | superpopulation	PEL | AMR	Peru
HG02427	population | superpopulation	ACB | AFR	Barbados
HG02429	population | superpopulation	ACB | AFR	Barbados
HG02433	population | superpopulation	ACB | AFR	Barbados
HG02439	population | superpopulation	ACB | AFR	Barbados
HG02442	population | superpopulation	ACB | AFR	Barbados
HG02445	population | superpopulation	ACB | AFR	Barbados
HG02449	population | superpopulation	ACB | AFR	Barbados
HG02450	population | superpopulation	ACB | AFR	Barbados
HG02455	population | superpopulation	ACB | AFR	Barbados
HG02461	population | superpopulation	GWD | AFR	Gambia
HG02462	population | superpopulation	GWD | AFR	Gambia
HG02464	population | superpopulation	GWD | AFR	Gambia
HG02465	population | superpopulation	GWD | AFR	Gambia
HG02470	population | superpopulation	ACB | AFR	Barbados
HG02471	population | superpopulation	ACB | AFR	Barbados
HG02476	population | superpopulation	ACB | AFR	Barbados
HG02477	population | superpopulation	ACB | AFR	Barbados
HG02479	population | superpopulation	ACB | AFR	Barbados
HG02481	population | superpopulation	ACB | AFR	Barbados
HG02484	population | superpopulation	ACB | AFR	Barbados
HG02485	population | superpopulation	ACB | AFR	Barbados
HG02489	population | superpopulation	ACB | AFR	Barbados
HG02490	population | superpopulation	PJL | SAS	Pakistan
HG02491	population | superpopulation	PJL | SAS	Pakistan
HG02493	population | superpopulation	PJL | SAS	Pakistan
HG02494	population | superpopulation	PJL | SAS	Pakistan
HG02496	population | superpopulation	ACB | AFR	Barbados
HG02497	population | superpopulation	ACB | AFR	Barbados
HG02501	population | superpopulation	ACB | AFR	Barbados
HG02502	population | superpopulation	ACB | AFR	Barbados
HG02505	population | superpopulation	ACB | AFR	Barbados
HG02508	population | superpopulation	ACB | AFR	Barbados
HG02511	population | superpopulation	ACB | AFR	Barbados
HG02512	population | superpopulation	KHV | EAS	Vietnam
HG02513	population | superpopulation	KHV | EAS	Vietnam
HG02521	population | superpopulation	KHV | EAS	Vietnam
HG02522	population | superpopulation	KHV | EAS	Vietnam
HG02536	population | superpopulation	ACB | AFR	Barbados
HG02537	population | superpopulation	ACB | AFR	Barbados
HG02541	population | superpopulation	ACB | AFR	Barbados
HG02545	population | superpopulation	ACB | AFR	Barbados
HG02546	population | superpopulation	ACB | AFR	Barbados
HG02549	population | superpopulation	ACB | AFR	Barbados
HG02554	population | superpopulation	ACB | AFR	Barbados
HG02555	population | superpopulation	ACB | AFR	Barbados
HG02557	population | superpopulation	ACB | AFR	Barbados
HG02558	population | superpopulation	ACB | AFR	Barbados
HG02561	population | superpopulation	GWD | AFR	Gambia
HG02562	population | superpopulation	GWD | AFR	Gambia
HG02568	population | superpopulation	GWD | AFR	Gambia
HG02570	population | superpopulation	GWD | AFR	Gambia
HG02571	population | superpopulation	GWD | AFR	Gambia
HG02573	population | superpopulation	GWD | AFR	Gambia
HG02574	population | superpopulation	GWD | AFR	Gambia
HG02577	population | superpopulation	ACB | AFR	Barbados
HG02580	population | superpopulation	ACB | AFR	Barbados
HG02582	population | superpopulation	GWD | AFR	Gambia
HG02583	population | superpopulation	GWD | AFR	Gambia
HG02585	population | superpopulation	GWD | AFR	Gambia
HG02586	population | superpopulation	GWD | AFR	Gambia
HG02588	population | superpopulation	GWD | AFR	Gambia
HG02589	population | superpopulation	GWD | AFR	Gambia
HG02594	population | superpopulation	GWD | AFR	Gambia
HG02595	population | superpopulation	GWD | AFR	Gambia
HG02597	population | superpopulation	PJL | SAS	Pakistan
HG02600	population | superpopulation	PJL | SAS	Pakistan
HG02601	population | superpopulation	PJL | SAS	Pakistan
HG02603	population | superpopulation	PJL | SAS	Pakistan
HG02604	population | superpopulation	PJL | SAS	Pakistan
HG02610	population | superpopulation	GWD | AFR	Gambia
HG02611	population | superpopulation	GWD | AFR	Gambia
HG02613	population | superpopulation	GWD | AFR	Gambia
HG02614	population | superpopulation	GWD | AFR	Gambia
HG02620	population | superpopulation	GWD | AFR	Gambia
HG02621	population | superpopulation	GWD | AFR	Gambia
HG02623	population | superpopulation	GWD | AFR	Gambia
HG02624	population | superpopulation	GWD | AFR	Gambia
HG02628	population | superpopulation	GWD | AFR	Gambia
HG02629	population | superpopulation	GWD | AFR	Gambia
HG02634	population | superpopulation	GWD | AFR	Gambia
HG02635	population | superpopulation	GWD | AFR	Gambia
HG02642	population | superpopulation	GWD | AFR	Gambia
HG02643	population | superpopulation	GWD | AFR	Gambia
HG02645	population | superpopulation	GWD | AFR	Gambia
HG02646	population | superpopulation	GWD | AFR	Gambia
HG02648	population | superpopulation	PJL | SAS	Pakistan
HG02649	population | superpopulation	PJL | SAS	Pakistan
HG02651	population | superpopulation	PJL | SAS	Pakistan
HG02652	population | superpopulation	PJL | SAS	Pakistan
HG02654	population | superpopulation	PJL | SAS	Pakistan
HG02655	population | superpopulation	PJL | SAS	Pakistan
HG02657	population | superpopulation	PJL | SAS	Pakistan
HG02658	population | superpopulation	PJL | SAS	Pakistan
HG02660	population | superpopulation	PJL | SAS	Pakistan
HG02661	population | superpopulation	PJL | SAS	Pakistan
HG02666	population | superpopulation	GWD | AFR	Gambia
HG02667	population | superpopulation	GWD | AFR	Gambia
HG02675	population | superpopulation	GWD | AFR	Gambia
HG02676	population | superpopulation	GWD | AFR	Gambia
HG02678	population | superpopulation	GWD | AFR	Gambia
HG02679	population | superpopulation	GWD | AFR	Gambia
HG02681	population | superpopulation	PJL | SAS	Pakistan
HG02682	population | superpopulation	PJL | SAS	Pakistan
HG02684	population | superpopulation	PJL | SAS	Pakistan
HG02685	population | superpopulation	PJL | SAS	Pakistan
HG02687	population | superpopulation	PJL | SAS	Pakistan
HG02688	population | superpopulation	PJL | SAS	Pakistan
HG02690	population | superpopulation	PJL | SAS	Pakistan
HG02691	population | superpopulation	PJL | SAS	Pakistan
HG02694	population | superpopulation	PJL | SAS	Pakistan
HG02696	population | superpopulation	PJL | SAS	Pakistan
HG02697	population | superpopulation	PJL | SAS	Pakistan
HG02699	population | superpopulation	PJL | SAS	Pakistan
HG02700	population | superpopulation	PJL | SAS	Pakistan
HG02702	population | superpopulation	GWD | AFR	Gambia
HG02703	population | superpopulation	GWD | AFR	Gambia
HG02715	population | superpopulation	GWD | AFR	Gambia
HG02716	population | superpopulation	GWD | AFR	Gambia
HG02721	population | superpopulation	GWD | AFR	Gambia
HG02722	population | superpopulation	GWD | AFR	Gambia
HG02724	population | superpopulation	PJL | SAS	Pakistan
HG02725	population | superpopulation	PJL | SAS	Pakistan
HG02727	population | superpopulation	PJL | SAS	Pakistan
HG02728	population | superpopulation	PJL | SAS	Pakistan
HG02731	population | superpopulation	PJL | SAS	Pakistan
HG02733	population | superpopulation	PJL | SAS	Pakistan
HG02734	population | superpopulation	PJL | SAS	Pakistan
HG02736	population | superpopulation	PJL | SAS	Pakistan
HG02737	population | superpopulation	PJL | SAS	Pakistan
HG02756	population | superpopulation	GWD | AFR	Gambia
HG02757	population | superpopulation	GWD | AFR	Gambia
HG02759	population | superpopulation	GWD | AFR	Gambia
HG02760	population | superpopulation	GWD | AFR	Gambia
HG02763	population | superpopulation	GWD | AFR	Gambia
HG02768	population | superpopulation	GWD | AFR	Gambia
HG02769	population | superpopulation	GWD | AFR	Gambia
HG02771	population | superpopulation	GWD | AFR	Gambia
HG02772	population | superpopulation	GWD | AFR	Gambia
HG02774	population | superpopulation	PJL | SAS	Pakistan
HG02775	population | superpopulation	PJL | SAS	Pakistan
HG02778	population | superpopulation	PJL | SAS	Pakistan
HG02780	population | superpopulation	PJL | SAS	Pakistan
HG02783	population | superpopulation	PJL | SAS	Pakistan
HG02784	population | superpopulation	PJL | SAS	Pakistan
HG02786	population | superpopulation	PJL | SAS	Pakistan
HG02787	population | superpopulation	PJL | SAS	Pakistan
HG02789	population | superpopulation	PJL | SAS	Pakistan
HG02790	population | superpopulation	PJL | SAS	Pakistan
HG02792	population | superpopulation	PJL | SAS	Pakistan
HG02793	population | superpopulation	PJL | SAS	Pakistan
HG02798	population | superpopulation	GWD | AFR	Gambia
HG02799	population | superpopulation	GWD | AFR	Gambia
HG02804	population | superpopulation	GWD | AFR	Gambia
HG02805	population | superpopulation	GWD | AFR	Gambia
HG02807	population | superpopulation	GWD | AFR	Gambia
HG02808	population | superpopulation	GWD | AFR	Gambia
HG02810	population | superpopulation	GWD | AFR	Gambia
HG02811	population | superpopulation	GWD | AFR	Gambia
HG02813	population | superpopulation	GWD | AFR	Gambia
HG02814	population | superpopulation	GWD | AFR	Gambia
HG02816	population | superpopulation	GWD | AFR	Gambia
HG02817	population | superpopulation	GWD | AFR	Gambia
HG02819	population | superpopulation	GWD | AFR	Gambia
HG02820	population | superpopulation	GWD | AFR	Gambia
HG02836	population | superpopulation	GWD | AFR	Gambia
HG02837	population | superpopulation	GWD | AFR	Gambia
HG02839	population | superpopulation	GWD | AFR	Gambia
HG02840	population | superpopulation	GWD | AFR	Gambia
HG02851	population | superpopulation	GWD | AFR	Gambia
HG02852	population | superpopulation	GWD | AFR	Gambia
HG02854	population | superpopulation	GWD | AFR	Gambia
HG02855	population | superpopulation	GWD | AFR	Gambia
HG02860	population | superpopulation	GWD | AFR	Gambia
HG02861	population | superpopulation	GWD | AFR	Gambia
HG02870	population | superpopulation	GWD | AFR	Gambia
HG02878	population | superpopulation	GWD | AFR	Gambia
HG02879	population | superpopulation	GWD | AFR	Gambia
HG02881	population | superpopulation	GWD | AFR	Gambia
HG02882	population | superpopulation	GWD | AFR	Gambia
HG02884	population | superpopulation	GWD | AFR	Gambia
